NAME	X	Y	Category	Intensity
TYPE	numeric	numeric	group	numeric
AD_1	-3.89922138	14.82605751	A	1
AD_2	-35.37466446	7.621239758	A	1
AD_3	-22.72297284	20.30488368	A	1
AD_4	-31.65355317	31.8395526	A	1
AD_5	-38.62439751	9.93386167	A	1
AD_6	-8.422031023	24.26047192	A	1
AD_7	-17.06056846	11.73673048	A	1
AD_8	-12.31720088	0.394868427	A	1
AD_9	-34.24804895	23.39681204	A	1
AD_10	-13.87643019	20.89398821	A	1
AD_11	-42.36984892	41.27707006	A	1
AD_12	-17.15057835	6.041175955	A	1
AD_13	-25.82196258	35.17520896	A	1
AD_14	-37.77252726	21.4210582	A	1
AD_15	-46.2134654	2.672688044	A	1
AD_16	-36.30579591	1.527496012	A	1
AD_17	-3.315128198	13.0866304	A	1
AD_18	-33.3299844	11.94415621	A	2
AD_19	-23.01680086	28.58640717	A	2
AD_20	-33.27619312	39.71011151	A	2
AD_21	-37.69489406	31.23272378	A	2
AD_22	-29.0272545	47.14681627	A	2
AD_23	-22.35554328	17.00484269	A	2
AD_24	-22.50130409	13.33772573	A	2
AD_25	-30.05615016	21.31429603	A	2
AD_26	-29.46207155	5.539502538	A	2
AD_27	-23.3170223	19.7530968	A	2
AD_28	-7.961190729	52.46538967	A	2
AD_29	-19.48149597	12.49172257	A	2
AD_30	-47.00932865	17.7276533	A	2
AD_31	-27.056757	19.87469931	A	2
AD_32	-36.77597326	26.41343975	A	2
AD_33	-44.24757735	64.62806235	A	2
AD_34	-10.18828996	25.93976832	A	2
AD_35	-7.746263727	37.5718767	A	3
AD_36	-42.06729602	37.35821721	A	3
AD_37	-23.51535529	1.387584099	A	3
AD_38	-27.82730888	34.75971617	A	3
AD_39	-33.7636495	49.43181922	A	3
AD_40	-11.3814977	43.70685198	A	3
AD_41	-9.208262394	60.38909091	A	3
AD_42	-15.27124471	59.63196345	A	3
AD_43	-4.041312739	31.41580565	A	3
AD_44	-32.64487979	33.17576874	A	3
AD_45	-1.852240922	49.87696943	A	3
AD_46	-35.59879947	24.02838512	A	3
AD_47	-47.50863427	40.26369495	A	3
AD_48	-48.0021678	18.09931961	A	3
AD_49	-34.14105083	6.892936487	A	3
AD_50	-5.294655934	5.31785339	A	3
AD_51	-28.85604525	50.26215348	A	3
AD_52	-14.80570494	55.27893203	A	3
AD_53	-35.99545237	17.59986513	A	3
AD_54	-39.20166211	46.92215162	A	4
AD_55	-48.03618936	28.66218946	A	4
AD_56	-48.93335106	29.08549506	A	4
AD_57	-44.5619192	24.53582137	A	4
AD_58	-43.75231067	52.50508649	A	4
AD_59	-4.886944329	33.57064203	A	4
AD_60	-23.27275542	43.32186628	A	4
AD_61	-39.09836066	47.8963156	A	4
AD_62	-35.66221473	15.30139237	A	4
AD_63	-31.32916423	43.97506096	A	4
AD_64	-37.38516113	22.96277306	A	4
AD_65	-44.94211813	76.50381274	A	4
AD_66	-7.621346062	75.32959985	A	4
AD_67	14.9226347	74.75820617	B	4
AD_68	13.01492564	30.09661605	B	4
AD_69	40.82151243	94.55021784	B	4
AD_70	23.63107054	25.32035985	B	4
AD_71	41.15796577	77.231299	B	5
AD_72	15.22618161	59.82796135	B	5
AD_73	21.98001243	90.48630146	B	5
AD_74	2.73597198	87.0499754	B	5
AD_75	46.86896406	24.64037719	B	5
AD_76	32.23727658	59.86607416	B	5
AD_77	12.57639761	79.436695	B	5
AD_78	19.23327856	75.27896689	B	5
AD_79	5.498233675	96.58051578	B	5
AD_80	36.39715988	77.01275425	B	5
AD_81	23.97251352	70.52753642	B	5
AD_82	19.7752586	8.079640463	B	5
AD_83	49.28995424	79.33854239	B	5
AD_84	26.54000248	38.85588534	B	5
AD_85	13.98191943	29.7780619	B	5
AD_86	38.08527736	109.5785135	B	5
AD_87	32.44576709	13.95215875	B	5
AD_88	1.641580706	70.55200594	B	5
